SKU,Forecast,Current_Stock,On_Order,Lead_Time_Days,Selling_Price,Cost_Price,Lead_Time_Demand,Available_Stock,Stockout_Risk,Overstock_Risk,Action,Sales_at_Risk,Capital_Locked,Priority
SKU001,86.0,771,147,4,3664.05,1758.45,49.142857142857146,918,False,True,OVERSTOCK,0.0,1355764.95,Medium
SKU002,53.0,526,29,3,3805.69,3867.09,22.714285714285715,555,False,True,OVERSTOCK,0.0,2034089.34,Medium
SKU003,32.0,349,12,3,8078.23,589.48,13.714285714285714,361,False,True,OVERSTOCK,0.0,205728.52000000002,Medium
SKU004,33.75,259,254,6,6861.57,1445.74,28.928571428571427,513,False,True,OVERSTOCK,0.0,374446.66,Medium
SKU005,101.75,471,291,6,9493.22,5543.63,87.21428571428571,762,False,True,OVERSTOCK,0.0,2611049.73,Medium
SKU006,40.5,359,485,13,8106.04,6021.91,75.21428571428571,844,False,True,OVERSTOCK,0.0,2161865.69,Medium
SKU007,152.25,207,460,8,5114.09,7748.2,174.0,667,False,False,MONITOR,0.0,0.0,Normal
SKU008,103.5,325,155,3,9842.64,2775.15,44.357142857142854,480,False,False,MONITOR,0.0,0.0,Normal
SKU009,76.25,75,89,7,2336.89,3121.06,76.25,164,False,False,MONITOR,0.0,0.0,Normal
SKU010,109.5,83,70,13,663.46,3889.06,203.35714285714286,153,True,False,REORDER,72648.87000000001,0.0,High
SKU011,20.0,753,269,3,1444.56,1718.4,8.571428571428571,1022,False,True,OVERSTOCK,0.0,1293955.2,Medium
SKU012,160.75,47,60,12,8779.37,1256.89,275.57142857142856,107,True,False,REORDER,1411283.7275,0.0,High
SKU013,88.0,151,95,4,5757.78,3936.71,50.285714285714285,246,False,False,MONITOR,0.0,0.0,Normal
SKU014,124.75,309,334,10,2270.75,2008.55,178.21428571428572,643,False,False,MONITOR,0.0,0.0,Normal
SKU015,25.25,187,245,9,6212.12,5441.06,32.464285714285715,432,False,True,OVERSTOCK,0.0,1017478.2200000001,Medium
SKU016,83.25,255,187,11,2166.82,3637.93,130.82142857142858,442,False,False,MONITOR,0.0,0.0,Normal
SKU017,95.0,95,26,12,8477.32,6703.26,162.85714285714286,121,True,False,REORDER,805345.4,0.0,High
SKU018,160.25,235,102,8,5575.41,5677.05,183.14285714285714,337,False,False,MONITOR,0.0,0.0,Normal
SKU019,102.5,227,114,14,4819.85,2670.84,205.0,341,False,False,MONITOR,0.0,0.0,Normal
SKU020,85.0,1002,353,3,3897.54,6700.01,36.42857142857143,1355,False,True,OVERSTOCK,0.0,6713410.0200000005,Medium
SKU021,52.0,88,97,9,7711.28,6486.92,66.85714285714286,185,False,False,MONITOR,0.0,0.0,Normal
SKU022,69.0,95,194,8,4597.03,3252.96,78.85714285714286,289,False,False,MONITOR,0.0,0.0,Normal
SKU023,97.5,130,79,12,1416.74,2484.54,167.14285714285714,209,False,False,MONITOR,0.0,0.0,Normal
SKU024,80.25,341,18,14,1768.87,5539.34,160.5,359,False,True,OVERSTOCK,0.0,1888914.94,Medium
SKU025,15.25,1124,61,14,11558.01,1333.08,30.5,1185,False,True,OVERSTOCK,0.0,1498381.92,Medium
SKU026,144.0,160,70,5,10939.54,1799.29,102.85714285714286,230,False,False,MONITOR,0.0,0.0,Normal
SKU027,160.0,567,103,3,8516.6,307.06,68.57142857142857,670,False,False,MONITOR,0.0,0.0,Normal
SKU028,29.5,174,55,11,3484.09,6348.66,46.357142857142854,229,False,True,OVERSTOCK,0.0,1104666.84,Medium
SKU029,100.75,261,520,5,11642.45,5402.59,71.96428571428571,781,False,False,MONITOR,0.0,0.0,Normal
SKU030,28.5,166,32,9,9433.51,5715.03,36.642857142857146,198,False,True,OVERSTOCK,0.0,948694.98,Medium
SKU031,107.25,93,40,13,8715.93,6300.65,199.17857142857142,133,True,False,REORDER,934783.4925,0.0,High
SKU032,58.75,278,214,11,5612.59,3806.6,92.32142857142857,492,False,True,OVERSTOCK,0.0,1058234.8,Medium
SKU033,109.5,208,168,12,3558.0,4657.74,187.71428571428572,376,False,False,MONITOR,0.0,0.0,Normal
SKU034,127.0,34,103,5,1518.14,1333.43,90.71428571428571,137,False,False,MONITOR,0.0,0.0,Normal
SKU035,132.75,670,76,8,10870.19,1137.61,151.71428571428572,746,False,True,OVERSTOCK,0.0,762198.7,Medium
SKU036,31.0,383,135,3,5687.0,5430.12,13.285714285714286,518,False,True,OVERSTOCK,0.0,2079735.96,Medium
SKU037,147.0,355,687,8,2747.42,3901.0,168.0,1042,False,False,MONITOR,0.0,0.0,Normal
SKU038,48.25,159,310,12,3949.1,4630.58,82.71428571428571,469,False,False,MONITOR,0.0,0.0,Normal
SKU039,17.75,93,35,3,7118.95,6178.74,7.607142857142857,128,False,True,OVERSTOCK,0.0,574622.82,Medium
SKU040,93.25,67,29,9,2450.56,5169.07,119.89285714285714,96,True,False,REORDER,228514.72,0.0,High
SKU041,71.25,440,40,4,10336.73,4540.24,40.714285714285715,480,False,True,OVERSTOCK,0.0,1997705.5999999999,Medium
SKU042,150.5,90,120,6,9198.83,4583.86,129.0,210,False,False,MONITOR,0.0,0.0,Normal
SKU043,131.75,559,211,12,8745.77,2605.61,225.85714285714286,770,False,True,OVERSTOCK,0.0,1456535.99,Medium
SKU044,57.75,223,39,5,5412.28,488.84,41.25,262,False,False,MONITOR,0.0,0.0,Normal
SKU045,149.5,307,142,4,7676.78,3634.56,85.42857142857143,449,False,False,MONITOR,0.0,0.0,Normal
SKU046,59.25,119,182,4,7175.54,1913.03,33.857142857142854,301,False,False,MONITOR,0.0,0.0,Normal
SKU047,95.5,201,129,9,7938.22,3416.1,122.78571428571429,330,False,False,MONITOR,0.0,0.0,Normal
SKU048,52.5,106,50,3,1379.55,6863.87,22.5,156,False,False,MONITOR,0.0,0.0,Normal
SKU049,162.75,780,599,5,5223.37,2063.03,116.25,1379,False,True,OVERSTOCK,0.0,1609163.4000000001,Medium
SKU050,39.25,328,525,14,882.72,701.85,78.5,853,False,True,OVERSTOCK,0.0,230206.80000000002,Medium
