SKU,Forecast,Current_Stock,On_Order,Lead_Time_Days,Stockout_Risk,Overstock_Risk,Action,Priority
SKU012,160.75,47,60,12,True,False,REORDER,High
SKU010,109.5,83,70,13,True,False,REORDER,High
SKU031,107.25,93,40,13,True,False,REORDER,High
SKU017,95.0,95,26,12,True,False,REORDER,High
SKU040,93.25,67,29,9,True,False,REORDER,High
SKU005,101.75,471,291,6,False,True,OVERSTOCK,Medium
SKU001,86.0,771,147,4,False,True,OVERSTOCK,Medium
SKU006,40.5,359,485,13,False,True,OVERSTOCK,Medium
SKU011,20.0,753,269,3,False,True,OVERSTOCK,Medium
SKU015,25.25,187,245,9,False,True,OVERSTOCK,Medium
SKU030,28.5,166,32,9,False,True,OVERSTOCK,Medium
SKU028,29.5,174,55,11,False,True,OVERSTOCK,Medium
SKU020,85.0,1002,353,3,False,True,OVERSTOCK,Medium
SKU024,80.25,341,18,14,False,True,OVERSTOCK,Medium
SKU003,32.0,349,12,3,False,True,OVERSTOCK,Medium
SKU002,53.0,526,29,3,False,True,OVERSTOCK,Medium
SKU025,15.25,1124,61,14,False,True,OVERSTOCK,Medium
SKU032,58.75,278,214,11,False,True,OVERSTOCK,Medium
SKU041,71.25,440,40,4,False,True,OVERSTOCK,Medium
SKU043,131.75,559,211,12,False,True,OVERSTOCK,Medium
SKU035,132.75,670,76,8,False,True,OVERSTOCK,Medium
SKU039,17.75,93,35,3,False,True,OVERSTOCK,Medium
SKU036,31.0,383,135,3,False,True,OVERSTOCK,Medium
SKU004,33.75,259,254,6,False,True,OVERSTOCK,Medium
SKU049,162.75,780,599,5,False,True,OVERSTOCK,Medium
SKU050,39.25,328,525,14,False,True,OVERSTOCK,Medium
SKU016,83.25,255,187,11,False,False,MONITOR,Normal
SKU014,124.75,309,334,10,False,False,MONITOR,Normal
SKU007,152.25,207,460,8,False,False,MONITOR,Normal
SKU008,103.5,325,155,3,False,False,MONITOR,Normal
SKU013,88.0,151,95,4,False,False,MONITOR,Normal
SKU009,76.25,75,89,7,False,False,MONITOR,Normal
SKU029,100.75,261,520,5,False,False,MONITOR,Normal
SKU027,160.0,567,103,3,False,False,MONITOR,Normal
SKU026,144.0,160,70,5,False,False,MONITOR,Normal
SKU018,160.25,235,102,8,False,False,MONITOR,Normal
SKU019,102.5,227,114,14,False,False,MONITOR,Normal
SKU021,52.0,88,97,9,False,False,MONITOR,Normal
SKU022,69.0,95,194,8,False,False,MONITOR,Normal
SKU023,97.5,130,79,12,False,False,MONITOR,Normal
SKU037,147.0,355,687,8,False,False,MONITOR,Normal
SKU038,48.25,159,310,12,False,False,MONITOR,Normal
SKU042,150.5,90,120,6,False,False,MONITOR,Normal
SKU044,57.75,223,39,5,False,False,MONITOR,Normal
SKU045,149.5,307,142,4,False,False,MONITOR,Normal
SKU046,59.25,119,182,4,False,False,MONITOR,Normal
SKU033,109.5,208,168,12,False,False,MONITOR,Normal
SKU034,127.0,34,103,5,False,False,MONITOR,Normal
SKU048,52.5,106,50,3,False,False,MONITOR,Normal
SKU047,95.5,201,129,9,False,False,MONITOR,Normal
