SKU,Forecast,Current_Stock,On_Order,Lead_Time_Days,Stockout_Risk,Overstock_Risk,Action,Priority
SKU001,86.0,,,,False,False,MONITOR,Normal
SKU002,53.0,,,,False,False,MONITOR,Normal
SKU003,32.0,,,,False,False,MONITOR,Normal
SKU004,33.75,,,,False,False,MONITOR,Normal
SKU005,101.75,,,,False,False,MONITOR,Normal
SKU006,40.5,,,,False,False,MONITOR,Normal
SKU007,152.25,,,,False,False,MONITOR,Normal
SKU008,103.5,,,,False,False,MONITOR,Normal
SKU009,76.25,,,,False,False,MONITOR,Normal
SKU010,109.5,,,,False,False,MONITOR,Normal
SKU011,20.0,,,,False,False,MONITOR,Normal
SKU012,160.75,,,,False,False,MONITOR,Normal
SKU013,88.0,,,,False,False,MONITOR,Normal
SKU014,124.75,,,,False,False,MONITOR,Normal
SKU015,25.25,,,,False,False,MONITOR,Normal
SKU016,83.25,,,,False,False,MONITOR,Normal
SKU017,95.0,,,,False,False,MONITOR,Normal
SKU018,160.25,,,,False,False,MONITOR,Normal
SKU019,102.5,,,,False,False,MONITOR,Normal
SKU020,85.0,,,,False,False,MONITOR,Normal
SKU021,52.0,,,,False,False,MONITOR,Normal
SKU022,69.0,,,,False,False,MONITOR,Normal
SKU023,97.5,,,,False,False,MONITOR,Normal
SKU024,80.25,,,,False,False,MONITOR,Normal
SKU025,15.25,,,,False,False,MONITOR,Normal
SKU026,144.0,,,,False,False,MONITOR,Normal
SKU027,160.0,,,,False,False,MONITOR,Normal
SKU028,29.5,,,,False,False,MONITOR,Normal
SKU029,100.75,,,,False,False,MONITOR,Normal
SKU030,28.5,,,,False,False,MONITOR,Normal
SKU031,107.25,,,,False,False,MONITOR,Normal
SKU032,58.75,,,,False,False,MONITOR,Normal
SKU033,109.5,,,,False,False,MONITOR,Normal
SKU034,127.0,,,,False,False,MONITOR,Normal
SKU035,132.75,,,,False,False,MONITOR,Normal
SKU036,31.0,,,,False,False,MONITOR,Normal
SKU037,147.0,,,,False,False,MONITOR,Normal
SKU038,48.25,,,,False,False,MONITOR,Normal
SKU039,17.75,,,,False,False,MONITOR,Normal
SKU040,93.25,,,,False,False,MONITOR,Normal
SKU041,71.25,,,,False,False,MONITOR,Normal
SKU042,150.5,,,,False,False,MONITOR,Normal
SKU043,131.75,,,,False,False,MONITOR,Normal
SKU044,57.75,,,,False,False,MONITOR,Normal
SKU045,149.5,,,,False,False,MONITOR,Normal
SKU046,59.25,,,,False,False,MONITOR,Normal
SKU047,95.5,,,,False,False,MONITOR,Normal
SKU048,52.5,,,,False,False,MONITOR,Normal
SKU049,162.75,,,,False,False,MONITOR,Normal
SKU050,39.25,,,,False,False,MONITOR,Normal
