SKU,Week_Start,Units_Sold,Revenue,Seasonal_Naive_Forecast,Year,Month,Quarter,Week_Number,Lag_1,Lag_2,Lag_4,Lag_8,Lag_12,Lag_52,Rolling_Mean_4,Rolling_Mean_8,Rolling_Mean_12,Average_Price,Promotion,Model_Forecast
SKU001,2025-11-10,87,318772.35,80.0,2025,11,4,46,92.0,93.0,82.0,88.0,91.0,80.0,86.25,85.5,87.75,3664.05,1,86.25
SKU001,2025-11-17,84,307780.2,88.0,2025,11,4,47,87.0,92.0,78.0,86.0,97.0,88.0,87.5,85.375,87.41666666666667,3664.05,1,87.5
SKU001,2025-11-24,84,307780.2,68.0,2025,11,4,48,84.0,87.0,93.0,83.0,88.0,68.0,89.0,85.125,86.33333333333333,3664.05,1,89.0
SKU001,2025-12-01,88,322436.4,83.0,2025,12,4,49,84.0,84.0,92.0,82.0,93.0,83.0,86.75,85.25,86.0,3664.05,0,86.75
SKU001,2025-12-08,89,326100.45,94.0,2025,12,4,50,88.0,84.0,87.0,82.0,88.0,94.0,85.75,86.0,85.58333333333333,3664.05,0,85.75
SKU001,2025-12-15,91,333428.55,77.0,2025,12,4,51,89.0,88.0,84.0,78.0,86.0,77.0,86.25,86.875,85.66666666666667,3664.05,0,86.25
SKU001,2025-12-22,76,278467.8,105.0,2025,12,4,52,91.0,89.0,84.0,93.0,83.0,105.0,88.0,88.5,86.08333333333333,3664.05,0,88.0
SKU001,2025-12-29,37,135569.85,78.0,2025,12,4,1,76.0,91.0,88.0,92.0,82.0,78.0,86.0,86.375,85.5,3664.0500000000006,0,86.0
SKU002,2025-11-10,60,228341.4,67.0,2025,11,4,46,72.0,70.0,59.0,79.0,70.0,67.0,63.0,63.75,65.5,3805.69,1,63.0
SKU002,2025-11-17,64,243564.16,66.0,2025,11,4,47,60.0,72.0,51.0,60.0,79.0,66.0,63.25,61.375,64.66666666666667,3805.69,1,63.25
SKU002,2025-11-24,66,251175.54,57.0,2025,11,4,48,64.0,60.0,70.0,63.0,62.0,57.0,66.5,61.875,63.416666666666664,3805.69,1,66.5
SKU002,2025-12-01,51,194090.19,66.0,2025,12,4,49,66.0,64.0,72.0,56.0,65.0,66.0,65.5,62.25,63.75,3805.69,0,65.5
SKU002,2025-12-08,55,209312.95,57.0,2025,12,4,50,51.0,66.0,60.0,59.0,79.0,57.0,60.25,61.625,62.583333333333336,3805.69,0,60.25
SKU002,2025-12-15,55,209312.95,59.0,2025,12,4,51,55.0,51.0,64.0,51.0,60.0,59.0,59.0,61.125,60.583333333333336,3805.69,0,59.0
SKU002,2025-12-22,51,194090.19,65.0,2025,12,4,52,55.0,55.0,66.0,70.0,63.0,65.0,56.75,61.625,60.166666666666664,3805.69,0,56.75
SKU002,2025-12-29,27,102753.63,70.0,2025,12,4,1,51.0,55.0,51.0,72.0,56.0,70.0,53.0,59.25,59.166666666666664,3805.69,0,53.0
SKU003,2025-11-10,37,298894.51,38.0,2025,11,4,46,39.0,41.0,26.0,39.0,34.0,38.0,35.0,37.125,36.166666666666664,8078.2300000000005,1,35.0
SKU003,2025-11-17,41,331207.43,39.0,2025,11,4,47,37.0,39.0,34.0,42.0,27.0,39.0,37.75,36.875,36.416666666666664,8078.2300000000005,1,37.75
SKU003,2025-11-24,29,234268.67,36.0,2025,11,4,48,41.0,37.0,41.0,43.0,34.0,36.0,39.5,36.75,37.583333333333336,8078.2300000000005,1,39.5
SKU003,2025-12-01,38,306972.74,38.0,2025,12,4,49,29.0,41.0,39.0,33.0,42.0,38.0,36.5,35.0,37.166666666666664,8078.2300000000005,0,36.5
SKU003,2025-12-08,33,266581.59,23.0,2025,12,4,50,38.0,29.0,37.0,26.0,39.0,23.0,36.25,35.625,36.833333333333336,8078.2300000000005,0,36.25
SKU003,2025-12-15,23,185799.29,48.0,2025,12,4,51,33.0,38.0,41.0,34.0,42.0,48.0,35.25,36.5,36.333333333333336,8078.2300000000005,0,35.25
SKU003,2025-12-22,34,274659.82,30.0,2025,12,4,52,23.0,33.0,29.0,41.0,43.0,30.0,30.75,35.125,34.75,8078.2300000000005,0,30.75
SKU003,2025-12-29,17,137329.91,32.0,2025,12,4,1,34.0,23.0,38.0,39.0,33.0,32.0,32.0,34.25,34.0,8078.23,0,32.0
SKU004,2025-11-10,31,212708.67,26.0,2025,11,4,46,27.0,32.0,24.0,26.0,18.0,26.0,26.75,26.5,27.75,6861.57,1,26.75
SKU004,2025-11-17,28,192123.96,19.0,2025,11,4,47,31.0,27.0,24.0,28.0,36.0,19.0,28.5,27.125,28.833333333333332,6861.57,1,28.5
SKU004,2025-11-24,22,150954.53999999998,24.0,2025,11,4,48,28.0,31.0,32.0,23.0,38.0,24.0,29.5,27.125,28.166666666666668,6861.57,1,29.5
SKU004,2025-12-01,28,192123.96,30.0,2025,12,4,49,22.0,28.0,27.0,28.0,29.0,30.0,27.0,27.0,26.833333333333332,6861.57,0,27.0
SKU004,2025-12-08,39,267601.23,33.0,2025,12,4,50,28.0,22.0,31.0,24.0,26.0,33.0,27.25,27.0,26.75,6861.57,0,27.25
SKU004,2025-12-15,38,260739.66,27.0,2025,12,4,51,39.0,28.0,28.0,24.0,28.0,27.0,29.25,28.875,27.833333333333332,6861.57,0,29.25
SKU004,2025-12-22,30,205847.1,28.0,2025,12,4,52,38.0,39.0,22.0,32.0,23.0,28.0,31.75,30.625,28.666666666666668,6861.57,0,31.75
SKU004,2025-12-29,6,41169.42,37.0,2025,12,4,1,30.0,38.0,28.0,27.0,28.0,37.0,33.75,30.375,29.25,6861.57,0,33.75
SKU005,2025-11-10,102,968308.44,123.0,2025,11,4,46,114.0,104.0,105.0,89.0,95.0,123.0,105.25,102.75,100.33333333333333,9493.22,1,105.25
SKU005,2025-11-17,115,1091720.3,104.0,2025,11,4,47,102.0,114.0,98.0,108.0,96.0,104.0,104.5,104.375,100.91666666666667,9493.22,1,104.5
SKU005,2025-11-24,100,949322.0,79.0,2025,11,4,48,115.0,102.0,104.0,97.0,95.0,79.0,108.75,105.25,102.5,9493.22,1,108.75
SKU005,2025-12-01,96,911349.12,95.0,2025,12,4,49,100.0,115.0,114.0,107.0,96.0,95.0,107.75,105.625,102.91666666666667,9493.22,0,107.75
SKU005,2025-12-08,103,977801.66,107.0,2025,12,4,50,96.0,100.0,102.0,105.0,89.0,107.0,103.25,104.25,102.91666666666667,9493.22,0,103.25
SKU005,2025-12-15,100,949322.0,110.0,2025,12,4,51,103.0,96.0,115.0,98.0,108.0,110.0,103.5,104.0,104.08333333333333,9493.22,0,103.5
SKU005,2025-12-22,108,1025267.76,106.0,2025,12,4,52,100.0,103.0,100.0,104.0,97.0,106.0,99.75,104.25,103.41666666666667,9493.22,0,99.75
SKU005,2025-12-29,50,474661.0,111.0,2025,12,4,1,108.0,100.0,96.0,114.0,107.0,111.0,101.75,104.75,104.33333333333333,9493.22,0,101.75
SKU006,2025-11-10,31,251287.24,28.0,2025,11,4,46,39.0,36.0,29.0,45.0,42.0,28.0,34.5,39.0,39.416666666666664,8106.04,1,34.5
SKU006,2025-11-17,45,364771.8,41.0,2025,11,4,47,31.0,39.0,34.0,48.0,36.0,41.0,35.0,37.25,38.5,8106.04,1,35.0
SKU006,2025-11-24,40,324241.6,44.0,2025,11,4,48,45.0,31.0,36.0,43.0,43.0,44.0,37.75,36.875,39.25,8106.04,1,37.75
SKU006,2025-12-01,37,299923.48,44.0,2025,12,4,49,40.0,45.0,39.0,38.0,40.0,44.0,38.75,36.5,39.0,8106.04,0,38.75
SKU006,2025-12-08,41,332347.64,34.0,2025,12,4,50,37.0,40.0,31.0,29.0,45.0,34.0,38.25,36.375,38.75,8106.04,0,38.25
SKU006,2025-12-15,41,332347.64,44.0,2025,12,4,51,41.0,37.0,45.0,34.0,48.0,44.0,40.75,37.875,38.416666666666664,8106.04,0,40.75
SKU006,2025-12-22,43,348559.72,48.0,2025,12,4,52,41.0,41.0,40.0,36.0,43.0,48.0,39.75,38.75,37.833333333333336,8106.04,0,39.75
SKU006,2025-12-29,20,162120.8,45.0,2025,12,4,1,43.0,41.0,37.0,39.0,38.0,45.0,40.5,39.625,37.833333333333336,8106.04,0,40.5
SKU007,2025-11-10,131,669945.79,159.0,2025,11,4,46,142.0,152.0,158.0,162.0,146.0,159.0,145.75,149.25,151.25,5114.090000000001,1,145.75
SKU007,2025-11-17,157,802912.13,167.0,2025,11,4,47,131.0,142.0,131.0,171.0,170.0,167.0,139.0,145.375,150.0,5114.090000000001,1,139.0
SKU007,2025-11-24,181,925650.29,132.0,2025,11,4,48,157.0,131.0,152.0,129.0,152.0,132.0,145.5,143.625,148.91666666666666,5114.090000000001,1,145.5
SKU007,2025-12-01,145,741543.05,148.0,2025,12,4,49,181.0,157.0,142.0,149.0,153.0,148.0,152.75,150.125,151.33333333333334,5114.090000000001,0,152.75
SKU007,2025-12-08,154,787569.86,137.0,2025,12,4,50,145.0,181.0,131.0,158.0,162.0,137.0,153.5,149.625,150.66666666666666,5114.090000000001,0,153.5
SKU007,2025-12-15,149,761999.41,167.0,2025,12,4,51,154.0,145.0,157.0,131.0,171.0,167.0,159.25,149.125,150.0,5114.090000000001,0,159.25
SKU007,2025-12-22,161,823368.49,147.0,2025,12,4,52,149.0,154.0,181.0,152.0,129.0,147.0,157.25,151.375,148.16666666666666,5114.090000000001,0,157.25
SKU007,2025-12-29,68,347758.12,175.0,2025,12,4,1,161.0,149.0,145.0,142.0,149.0,175.0,152.25,152.5,150.83333333333334,5114.09,0,152.25
SKU008,2025-11-10,94,925208.16,106.0,2025,11,4,46,112.0,100.0,115.0,87.0,89.0,106.0,102.0,96.75,95.5,9842.64,1,102.0
SKU008,2025-11-17,91,895680.24,88.0,2025,11,4,47,94.0,112.0,81.0,93.0,101.0,88.0,96.75,97.625,95.91666666666667,9842.64,1,96.75
