SKU,Forecast,Current_Stock,On_Order,Lead_Time_Days,Lead_Time_Demand,Available_Stock,Stockout_Risk,Overstock_Risk,Action
SKU001,86.0,771,147,4,49.142857142857146,918,False,True,OVERSTOCK
SKU002,53.0,526,29,3,22.714285714285715,555,False,True,OVERSTOCK
SKU003,32.0,349,12,3,13.714285714285714,361,False,True,OVERSTOCK
SKU004,33.75,259,254,6,28.928571428571427,513,False,True,OVERSTOCK
SKU005,101.75,471,291,6,87.21428571428571,762,False,True,OVERSTOCK
SKU006,40.5,359,485,13,75.21428571428571,844,False,True,OVERSTOCK
SKU007,152.25,207,460,8,174.0,667,False,False,MONITOR
SKU008,103.5,325,155,3,44.357142857142854,480,False,False,MONITOR
SKU009,76.25,75,89,7,76.25,164,False,False,MONITOR
SKU010,109.5,83,70,13,203.35714285714286,153,True,False,REORDER
SKU011,20.0,753,269,3,8.571428571428571,1022,False,True,OVERSTOCK
SKU012,160.75,47,60,12,275.57142857142856,107,True,False,REORDER
SKU013,88.0,151,95,4,50.285714285714285,246,False,False,MONITOR
SKU014,124.75,309,334,10,178.21428571428572,643,False,False,MONITOR
SKU015,25.25,187,245,9,32.464285714285715,432,False,True,OVERSTOCK
SKU016,83.25,255,187,11,130.82142857142858,442,False,False,MONITOR
SKU017,95.0,95,26,12,162.85714285714286,121,True,False,REORDER
SKU018,160.25,235,102,8,183.14285714285714,337,False,False,MONITOR
SKU019,102.5,227,114,14,205.0,341,False,False,MONITOR
SKU020,85.0,1002,353,3,36.42857142857143,1355,False,True,OVERSTOCK
SKU021,52.0,88,97,9,66.85714285714286,185,False,False,MONITOR
SKU022,69.0,95,194,8,78.85714285714286,289,False,False,MONITOR
SKU023,97.5,130,79,12,167.14285714285714,209,False,False,MONITOR
SKU024,80.25,341,18,14,160.5,359,False,True,OVERSTOCK
SKU025,15.25,1124,61,14,30.5,1185,False,True,OVERSTOCK
SKU026,144.0,160,70,5,102.85714285714286,230,False,False,MONITOR
SKU027,160.0,567,103,3,68.57142857142857,670,False,False,MONITOR
SKU028,29.5,174,55,11,46.357142857142854,229,False,True,OVERSTOCK
SKU029,100.75,261,520,5,71.96428571428571,781,False,False,MONITOR
SKU030,28.5,166,32,9,36.642857142857146,198,False,True,OVERSTOCK
SKU031,107.25,93,40,13,199.17857142857142,133,True,False,REORDER
SKU032,58.75,278,214,11,92.32142857142857,492,False,True,OVERSTOCK
SKU033,109.5,208,168,12,187.71428571428572,376,False,False,MONITOR
SKU034,127.0,34,103,5,90.71428571428571,137,False,False,MONITOR
SKU035,132.75,670,76,8,151.71428571428572,746,False,True,OVERSTOCK
SKU036,31.0,383,135,3,13.285714285714286,518,False,True,OVERSTOCK
SKU037,147.0,355,687,8,168.0,1042,False,False,MONITOR
SKU038,48.25,159,310,12,82.71428571428571,469,False,False,MONITOR
SKU039,17.75,93,35,3,7.607142857142857,128,False,True,OVERSTOCK
SKU040,93.25,67,29,9,119.89285714285714,96,True,False,REORDER
SKU041,71.25,440,40,4,40.714285714285715,480,False,True,OVERSTOCK
SKU042,150.5,90,120,6,129.0,210,False,False,MONITOR
SKU043,131.75,559,211,12,225.85714285714286,770,False,True,OVERSTOCK
SKU044,57.75,223,39,5,41.25,262,False,False,MONITOR
SKU045,149.5,307,142,4,85.42857142857143,449,False,False,MONITOR
SKU046,59.25,119,182,4,33.857142857142854,301,False,False,MONITOR
SKU047,95.5,201,129,9,122.78571428571429,330,False,False,MONITOR
SKU048,52.5,106,50,3,22.5,156,False,False,MONITOR
SKU049,162.75,780,599,5,116.25,1379,False,True,OVERSTOCK
SKU050,39.25,328,525,14,78.5,853,False,True,OVERSTOCK
