SKU,Week_Start,Units_Sold,Revenue,Seasonal_Naive_Forecast
SKU001,2024-01-01,106,388389.3,
SKU001,2024-01-08,85,311444.25,
SKU001,2024-01-15,117,428693.85,
SKU001,2024-01-22,89,326100.45,
SKU001,2024-01-29,119,436021.94999999995,
SKU001,2024-02-05,112,410373.6,
SKU001,2024-02-12,104,381061.2,
SKU001,2024-02-19,120,439686.0,
SKU001,2024-02-26,103,377397.15,
SKU001,2024-03-04,119,436021.95,
SKU001,2024-03-11,122,447014.1,
SKU001,2024-03-18,130,476326.5,
SKU001,2024-03-25,102,373733.1,
SKU001,2024-04-01,122,447014.1,
SKU001,2024-04-08,115,421365.75,
SKU001,2024-04-15,103,377397.15,
SKU001,2024-04-22,112,410373.6,
SKU001,2024-04-29,110,403045.5,
SKU001,2024-05-06,117,428693.85,
SKU001,2024-05-13,115,421365.75,
SKU001,2024-05-20,115,421365.75,
SKU001,2024-05-27,108,395717.4,
SKU001,2024-06-03,126,461670.3,
SKU001,2024-06-10,106,388389.3,
SKU001,2024-06-17,100,366405.0,
SKU001,2024-06-24,124,454342.2,
SKU001,2024-07-01,84,307780.2,
SKU001,2024-07-08,101,370069.05,
SKU001,2024-07-15,75,274803.75,
SKU001,2024-07-22,96,351748.8,
SKU001,2024-07-29,94,344420.7,
SKU001,2024-08-05,82,300452.1,
SKU001,2024-08-12,89,326100.45,
SKU001,2024-08-19,98,359076.9,
SKU001,2024-08-26,92,337092.6,
SKU001,2024-09-02,96,351748.8,
SKU001,2024-09-09,89,326100.45,
SKU001,2024-09-16,104,381061.19999999995,
SKU001,2024-09-23,109,399381.45,
SKU001,2024-09-30,71,260147.55,
SKU001,2024-10-07,82,300452.1,
SKU001,2024-10-14,88,322436.4,
SKU001,2024-10-21,89,326100.45,
SKU001,2024-10-28,83,304116.15,
SKU001,2024-11-04,99,362740.95,
SKU001,2024-11-11,80,293124.0,
SKU001,2024-11-18,88,322436.39999999997,
SKU001,2024-11-25,68,249155.4,
SKU001,2024-12-02,83,304116.15,
SKU001,2024-12-09,94,344420.7,
SKU001,2024-12-16,77,282131.85,
SKU001,2024-12-23,105,384725.25,
SKU001,2024-12-30,78,285795.9,106.0
SKU001,2025-01-06,100,366405.0,85.0
SKU001,2025-01-13,89,326100.44999999995,117.0
SKU001,2025-01-20,103,377397.15,89.0
SKU001,2025-01-27,100,366405.0,119.0
SKU001,2025-02-03,106,388389.3,112.0
SKU001,2025-02-10,124,454342.2,104.0
SKU001,2025-02-17,116,425029.8,120.0
SKU001,2025-02-24,111,406709.55,103.0
SKU001,2025-03-03,98,359076.9,119.0
SKU001,2025-03-10,133,487318.65,122.0
SKU001,2025-03-17,128,468998.4,130.0
SKU001,2025-03-24,115,421365.75,102.0
SKU001,2025-03-31,100,366405.0,122.0
SKU001,2025-04-07,112,410373.6,115.0
SKU001,2025-04-14,108,395717.39999999997,103.0
SKU001,2025-04-21,134,490982.7,112.0
SKU001,2025-04-28,99,362740.94999999995,110.0
SKU001,2025-05-05,119,436021.95,117.0
SKU001,2025-05-12,115,421365.75,115.0
SKU001,2025-05-19,119,436021.95,115.0
SKU001,2025-05-26,111,406709.55,108.0
SKU001,2025-06-02,121,443350.05000000005,126.0
SKU001,2025-06-09,104,381061.2,106.0
SKU001,2025-06-16,110,403045.5,100.0
SKU001,2025-06-23,134,490982.69999999995,124.0
SKU001,2025-06-30,101,370069.05,84.0
SKU001,2025-07-07,111,406709.55,101.0
SKU001,2025-07-14,118,432357.9,75.0
SKU001,2025-07-21,111,406709.55,96.0
SKU001,2025-07-28,101,370069.05,94.0
SKU001,2025-08-04,77,282131.85,82.0
SKU001,2025-08-11,90,329764.5,89.0
SKU001,2025-08-18,91,333428.55,98.0
SKU001,2025-08-25,97,355412.85,92.0
SKU001,2025-09-01,88,322436.4,96.0
SKU001,2025-09-08,93,340756.65,89.0
SKU001,2025-09-15,88,322436.4,104.0
SKU001,2025-09-22,86,315108.3,109.0
SKU001,2025-09-29,83,304116.15,71.0
SKU001,2025-10-06,82,300452.1,82.0
SKU001,2025-10-13,82,300452.1,88.0
SKU001,2025-10-20,78,285795.9,89.0
SKU001,2025-10-27,93,340756.65,83.0
SKU001,2025-11-03,92,337092.6,99.0
SKU001,2025-11-10,87,318772.35,80.0
SKU001,2025-11-17,84,307780.2,88.0
SKU001,2025-11-24,84,307780.2,68.0
SKU001,2025-12-01,88,322436.4,83.0
SKU001,2025-12-08,89,326100.45,94.0
SKU001,2025-12-15,91,333428.55,77.0
SKU001,2025-12-22,76,278467.8,105.0
SKU001,2025-12-29,37,135569.85,78.0
SKU002,2024-01-01,83,315872.27,
SKU002,2024-01-08,61,232147.09,
SKU002,2024-01-15,57,216924.33000000002,
SKU002,2024-01-22,62,235952.78,
SKU002,2024-01-29,68,258786.91999999998,
SKU002,2024-02-05,72,274009.68,
SKU002,2024-02-12,65,247369.85,
SKU002,2024-02-19,64,243564.16,
SKU002,2024-02-26,74,281621.06,
SKU002,2024-03-04,69,262592.61,
SKU002,2024-03-11,103,391986.07,
SKU002,2024-03-18,89,338706.41000000003,
SKU002,2024-03-25,106,403403.14,
SKU002,2024-04-01,79,300649.51,
SKU002,2024-04-08,76,289232.44,
SKU002,2024-04-15,93,353929.17,
SKU002,2024-04-22,75,285426.75,
SKU002,2024-04-29,91,346317.79000000004,
SKU002,2024-05-06,88,334900.72,
SKU002,2024-05-13,86,327289.33999999997,
SKU002,2024-05-20,78,296843.82,
SKU002,2024-05-27,77,293038.13,
SKU002,2024-06-03,76,289232.44,
SKU002,2024-06-10,82,312066.58,
SKU002,2024-06-17,62,235952.78,
SKU002,2024-06-24,80,304455.2,
SKU002,2024-07-01,81,308260.89,
SKU002,2024-07-08,74,281621.06,
SKU002,2024-07-15,84,319677.96,
SKU002,2024-07-22,59,224535.71,
SKU002,2024-07-29,51,194090.19,
SKU002,2024-08-05,65,247369.85,
SKU002,2024-08-12,58,220730.02,
SKU002,2024-08-19,46,175061.74,
SKU002,2024-08-26,69,262592.61,
SKU002,2024-09-02,56,213118.64,
SKU002,2024-09-09,61,232147.09,
SKU002,2024-09-16,59,224535.71,
SKU002,2024-09-23,63,239758.47,
SKU002,2024-09-30,51,194090.19,
SKU002,2024-10-07,65,247369.85,
SKU002,2024-10-14,72,274009.68,
SKU002,2024-10-21,47,178867.43,
SKU002,2024-10-28,65,247369.85,
SKU002,2024-11-04,52,197895.88,
SKU002,2024-11-11,67,254981.22999999998,
SKU002,2024-11-18,66,251175.54,
SKU002,2024-11-25,57,216924.33000000002,
SKU002,2024-12-02,66,251175.54,
SKU002,2024-12-09,57,216924.33,
SKU002,2024-12-16,59,224535.71,
SKU002,2024-12-23,65,247369.84999999998,
SKU002,2024-12-30,70,266398.3,83.0
SKU002,2025-01-06,63,239758.47,61.0
SKU002,2025-01-13,67,254981.23,57.0
SKU002,2025-01-20,66,251175.54,62.0
SKU002,2025-01-27,85,323483.64999999997,68.0
SKU002,2025-02-03,71,270203.99,72.0
SKU002,2025-02-10,79,300649.51,65.0
SKU002,2025-02-17,82,312066.58,64.0
SKU002,2025-02-24,95,361540.55,74.0
SKU002,2025-03-03,99,376763.31,69.0
SKU002,2025-03-10,80,304455.2,103.0
SKU002,2025-03-17,81,308260.89,89.0
SKU002,2025-03-24,96,365346.24,106.0
SKU002,2025-03-31,80,304455.2,79.0
SKU002,2025-04-07,89,338706.41000000003,76.0
SKU002,2025-04-14,82,312066.58,93.0
SKU002,2025-04-21,79,300649.51,75.0
SKU002,2025-04-28,67,254981.23,91.0
SKU002,2025-05-05,77,293038.13,88.0
SKU002,2025-05-12,84,319677.96,86.0
SKU002,2025-05-19,82,312066.58,78.0
SKU002,2025-05-26,93,353929.17,77.0
SKU002,2025-06-02,73,277815.37,76.0
SKU002,2025-06-09,91,346317.79,82.0
SKU002,2025-06-16,84,319677.96,62.0
SKU002,2025-06-23,70,266398.3,80.0
SKU002,2025-06-30,53,201701.57,81.0
SKU002,2025-07-07,78,296843.82,74.0
SKU002,2025-07-14,69,262592.61,84.0
SKU002,2025-07-21,76,289232.44,59.0
SKU002,2025-07-28,75,285426.75,51.0
SKU002,2025-08-04,60,228341.4,65.0
SKU002,2025-08-11,70,266398.3,58.0
SKU002,2025-08-18,70,266398.3,46.0
SKU002,2025-08-25,79,300649.51,69.0
SKU002,2025-09-01,62,235952.78,56.0
SKU002,2025-09-08,65,247369.85,61.0
SKU002,2025-09-15,79,300649.51,59.0
SKU002,2025-09-22,60,228341.4,63.0
SKU002,2025-09-29,63,239758.47,51.0
SKU002,2025-10-06,56,213118.64,65.0
SKU002,2025-10-13,59,224535.71,72.0
SKU002,2025-10-20,51,194090.19,47.0
SKU002,2025-10-27,70,266398.3,65.0
SKU002,2025-11-03,72,274009.68,52.0
SKU002,2025-11-10,60,228341.4,67.0
SKU002,2025-11-17,64,243564.16,66.0
SKU002,2025-11-24,66,251175.54,57.0
SKU002,2025-12-01,51,194090.19,66.0
SKU002,2025-12-08,55,209312.95,57.0
SKU002,2025-12-15,55,209312.95,59.0
SKU002,2025-12-22,51,194090.19,65.0
SKU002,2025-12-29,27,102753.63,70.0
SKU003,2024-01-01,36,290816.28,
SKU003,2024-01-08,32,258503.36,
SKU003,2024-01-15,32,258503.36,
SKU003,2024-01-22,43,347363.88999999996,
SKU003,2024-01-29,40,323129.2,
SKU003,2024-02-05,46,371598.58,
SKU003,2024-02-12,34,274659.82,
SKU003,2024-02-19,44,355442.12,
SKU003,2024-02-26,52,420067.96,
SKU003,2024-03-04,66,533163.1799999999,
SKU003,2024-03-11,46,371598.57999999996,
SKU003,2024-03-18,48,387755.04000000004,
SKU003,2024-03-25,49,395833.27,
SKU003,2024-04-01,48,387755.04,
SKU003,2024-04-08,47,379676.81,
SKU003,2024-04-15,47,379676.81,
SKU003,2024-04-22,45,363520.35,
SKU003,2024-04-29,45,363520.35,
SKU003,2024-05-06,37,298894.51,
SKU003,2024-05-13,41,331207.43000000005,
SKU003,2024-05-20,50,403911.5,
SKU003,2024-05-27,60,484693.80000000005,
SKU003,2024-06-03,52,420067.96,
SKU003,2024-06-10,47,379676.81,
SKU003,2024-06-17,57,460459.11,
SKU003,2024-06-24,30,242346.9,
SKU003,2024-07-01,43,347363.89,
SKU003,2024-07-08,32,258503.36000000002,
SKU003,2024-07-15,28,226190.44,
SKU003,2024-07-22,42,339285.66000000003,
SKU003,2024-07-29,45,363520.35,
SKU003,2024-08-05,35,282738.05,
SKU003,2024-08-12,37,298894.51,
SKU003,2024-08-19,38,306972.74,
SKU003,2024-08-26,40,323129.2,
SKU003,2024-09-02,38,306972.74,
SKU003,2024-09-09,30,242346.9,
SKU003,2024-09-16,41,331207.43,
SKU003,2024-09-23,32,258503.36000000002,
SKU003,2024-09-30,32,258503.36,
SKU003,2024-10-07,34,274659.82,
SKU003,2024-10-14,27,218112.21,
SKU003,2024-10-21,35,282738.05,
SKU003,2024-10-28,17,137329.91,
SKU003,2024-11-04,41,331207.43,
SKU003,2024-11-11,38,306972.74,
SKU003,2024-11-18,39,315050.97,
SKU003,2024-11-25,36,290816.28,
SKU003,2024-12-02,38,306972.74,
SKU003,2024-12-09,23,185799.29,
SKU003,2024-12-16,48,387755.04,
SKU003,2024-12-23,30,242346.9,
SKU003,2024-12-30,32,258503.36,36.0
SKU003,2025-01-06,34,274659.82,32.0
SKU003,2025-01-13,41,331207.43,32.0
SKU003,2025-01-20,23,185799.29,43.0
SKU003,2025-01-27,40,323129.2,40.0
SKU003,2025-02-03,34,274659.82,46.0
SKU003,2025-02-10,47,379676.81,34.0
SKU003,2025-02-17,45,363520.35,44.0
SKU003,2025-02-24,54,436224.42,52.0
SKU003,2025-03-03,44,355442.12,66.0
SKU003,2025-03-10,57,460459.11000000004,46.0
SKU003,2025-03-17,69,557397.87,48.0
SKU003,2025-03-24,50,403911.5,49.0
SKU003,2025-03-31,38,306972.74,48.0
SKU003,2025-04-07,48,387755.04000000004,47.0
SKU003,2025-04-14,48,387755.04000000004,47.0
SKU003,2025-04-21,49,395833.27,45.0
SKU003,2025-04-28,41,331207.43,45.0
SKU003,2025-05-05,50,403911.5,37.0
SKU003,2025-05-12,41,331207.43,41.0
SKU003,2025-05-19,43,347363.89,50.0
SKU003,2025-05-26,45,363520.35,60.0
SKU003,2025-06-02,50,403911.5,52.0
SKU003,2025-06-09,53,428146.19,47.0
SKU003,2025-06-16,48,387755.04000000004,57.0
SKU003,2025-06-23,44,355442.12,30.0
SKU003,2025-06-30,42,339285.66,43.0
SKU003,2025-07-07,44,355442.12,32.0
SKU003,2025-07-14,37,298894.51,28.0
SKU003,2025-07-21,41,331207.43,42.0
SKU003,2025-07-28,26,210033.98,45.0
SKU003,2025-08-04,38,306972.74,35.0
SKU003,2025-08-11,39,315050.97,37.0
SKU003,2025-08-18,34,274659.82,38.0
SKU003,2025-08-25,27,218112.21,40.0
SKU003,2025-09-01,34,274659.82,38.0
SKU003,2025-09-08,42,339285.66,30.0
SKU003,2025-09-15,39,315050.97,41.0
SKU003,2025-09-22,42,339285.66000000003,32.0
SKU003,2025-09-29,43,347363.89,32.0
SKU003,2025-10-06,33,266581.58999999997,34.0
SKU003,2025-10-13,26,210033.97999999998,27.0
SKU003,2025-10-20,34,274659.82,35.0
SKU003,2025-10-27,41,331207.43,17.0
SKU003,2025-11-03,39,315050.97,41.0
SKU003,2025-11-10,37,298894.51,38.0
SKU003,2025-11-17,41,331207.43,39.0
SKU003,2025-11-24,29,234268.66999999998,36.0
SKU003,2025-12-01,38,306972.74,38.0
SKU003,2025-12-08,33,266581.59,23.0
SKU003,2025-12-15,23,185799.29,48.0
SKU003,2025-12-22,34,274659.82,30.0
SKU003,2025-12-29,17,137329.91,32.0
SKU004,2024-01-01,31,212708.66999999998,
SKU004,2024-01-08,25,171539.25,
SKU004,2024-01-15,38,260739.65999999997,
SKU004,2024-01-22,33,226431.81,
SKU004,2024-01-29,43,295047.51,
SKU004,2024-02-05,34,233293.38,
SKU004,2024-02-12,35,240154.94999999998,
SKU004,2024-02-19,22,150954.53999999998,
SKU004,2024-02-26,45,308770.65,
SKU004,2024-03-04,40,274462.8,
SKU004,2024-03-11,41,281324.37,
SKU004,2024-03-18,36,247016.52,
SKU004,2024-03-25,27,185262.38999999998,
SKU004,2024-04-01,35,240154.94999999998,
SKU004,2024-04-08,30,205847.09999999998,
SKU004,2024-04-15,44,301909.07999999996,
SKU004,2024-04-22,28,192123.96,
SKU004,2024-04-29,37,253878.09,
SKU004,2024-05-06,47,322493.79,
SKU004,2024-05-13,54,370524.77999999997,
SKU004,2024-05-20,40,274462.8,
SKU004,2024-05-27,28,192123.96,
SKU004,2024-06-03,41,281324.37,
SKU004,2024-06-10,40,274462.8,
SKU004,2024-06-17,37,253878.09,
SKU004,2024-06-24,34,233293.38,
SKU004,2024-07-01,28,192123.96,
SKU004,2024-07-08,33,226431.81,
SKU004,2024-07-15,35,240154.94999999998,
SKU004,2024-07-22,32,219570.24,
SKU004,2024-07-29,32,219570.24,
SKU004,2024-08-05,33,226431.81,
SKU004,2024-08-12,30,205847.09999999998,
SKU004,2024-08-19,29,198985.53,
SKU004,2024-08-26,22,150954.53999999998,
SKU004,2024-09-02,30,205847.09999999998,
SKU004,2024-09-09,34,233293.38,
SKU004,2024-09-16,29,198985.53,
SKU004,2024-09-23,26,178400.82,
SKU004,2024-09-30,26,178400.82,
SKU004,2024-10-07,29,198985.53,
SKU004,2024-10-14,29,198985.53,
SKU004,2024-10-21,26,178400.82,
SKU004,2024-10-28,32,219570.24,
SKU004,2024-11-04,29,198985.53,
SKU004,2024-11-11,26,178400.82,
SKU004,2024-11-18,19,130369.82999999999,
SKU004,2024-11-25,24,164677.68,
SKU004,2024-12-02,30,205847.09999999998,
SKU004,2024-12-09,33,226431.81,
SKU004,2024-12-16,27,185262.38999999998,
SKU004,2024-12-23,28,192123.96,
SKU004,2024-12-30,37,253878.09,31.0
SKU004,2025-01-06,35,240154.94999999998,25.0
SKU004,2025-01-13,24,164677.68,38.0
SKU004,2025-01-20,38,260739.65999999997,33.0
SKU004,2025-01-27,34,233293.38,43.0
SKU004,2025-02-03,32,219570.24,34.0
SKU004,2025-02-10,37,253878.09,35.0
SKU004,2025-02-17,33,226431.81,22.0
SKU004,2025-02-24,50,343078.5,45.0
SKU004,2025-03-03,36,247016.52,40.0
SKU004,2025-03-10,35,240154.94999999998,41.0
SKU004,2025-03-17,39,267601.23,36.0
SKU004,2025-03-24,43,295047.51,27.0
SKU004,2025-03-31,22,150954.53999999998,35.0
SKU004,2025-04-07,39,267601.23,30.0
SKU004,2025-04-14,45,308770.64999999997,44.0
SKU004,2025-04-21,41,281324.37,28.0
SKU004,2025-04-28,31,212708.66999999998,37.0
SKU004,2025-05-05,34,233293.38,47.0
SKU004,2025-05-12,33,226431.81,54.0
SKU004,2025-05-19,38,260739.65999999997,40.0
SKU004,2025-05-26,30,205847.09999999998,28.0
SKU004,2025-06-02,28,192123.96,41.0
SKU004,2025-06-09,29,198985.53,40.0
SKU004,2025-06-16,48,329355.36,37.0
SKU004,2025-06-23,31,212708.66999999998,34.0
SKU004,2025-06-30,27,185262.38999999998,28.0
SKU004,2025-07-07,32,219570.24,33.0
SKU004,2025-07-14,34,233293.38,35.0
SKU004,2025-07-21,29,198985.53,32.0
SKU004,2025-07-28,33,226431.81,32.0
SKU004,2025-08-04,26,178400.82,33.0
SKU004,2025-08-11,26,178400.82,30.0
SKU004,2025-08-18,18,123508.26,29.0
SKU004,2025-08-25,36,247016.52,22.0
SKU004,2025-09-01,38,260739.65999999997,30.0
SKU004,2025-09-08,29,198985.53,34.0
SKU004,2025-09-15,26,178400.82,29.0
SKU004,2025-09-22,28,192123.96,26.0
SKU004,2025-09-29,23,157816.11,26.0
SKU004,2025-10-06,28,192123.96,29.0
SKU004,2025-10-13,24,164677.68,29.0
SKU004,2025-10-20,24,164677.68,26.0
SKU004,2025-10-27,32,219570.24,32.0
SKU004,2025-11-03,27,185262.38999999998,29.0
SKU004,2025-11-10,31,212708.66999999998,26.0
SKU004,2025-11-17,28,192123.96,19.0
SKU004,2025-11-24,22,150954.53999999998,24.0
SKU004,2025-12-01,28,192123.96,30.0
SKU004,2025-12-08,39,267601.23,33.0
SKU004,2025-12-15,38,260739.65999999997,27.0
SKU004,2025-12-22,30,205847.09999999998,28.0
SKU004,2025-12-29,6,41169.42,37.0
SKU005,2024-01-01,109,1034760.98,
SKU005,2024-01-08,116,1101213.52,
SKU005,2024-01-15,108,1025267.76,
SKU005,2024-01-22,102,968308.44,
SKU005,2024-01-29,129,1224625.38,
SKU005,2024-02-05,135,1281584.7,
SKU005,2024-02-12,144,1367023.68,
SKU005,2024-02-19,124,1177159.28,
SKU005,2024-02-26,134,1272091.48,
SKU005,2024-03-04,147,1395503.3399999999,
SKU005,2024-03-11,144,1367023.68,
SKU005,2024-03-18,151,1433476.22,
SKU005,2024-03-25,126,1196145.72,
SKU005,2024-04-01,138,1310064.3599999999,
SKU005,2024-04-08,113,1072733.8599999999,
SKU005,2024-04-15,140,1329050.8,
SKU005,2024-04-22,113,1072733.8599999999,
SKU005,2024-04-29,122,1158172.8399999999,
SKU005,2024-05-06,142,1348037.24,
SKU005,2024-05-13,122,1158172.8399999999,
SKU005,2024-05-20,118,1120199.96,
SKU005,2024-05-27,124,1177159.28,
SKU005,2024-06-03,157,1490435.54,
SKU005,2024-06-10,138,1310064.3599999999,
SKU005,2024-06-17,149,1414489.78,
SKU005,2024-06-24,145,1376516.9,
SKU005,2024-07-01,105,996788.0999999999,
SKU005,2024-07-08,114,1082227.08,
SKU005,2024-07-15,109,1034760.98,
SKU005,2024-07-22,114,1082227.0799999998,
SKU005,2024-07-29,108,1025267.7599999999,
SKU005,2024-08-05,95,901855.8999999999,
SKU005,2024-08-12,103,977801.6599999999,
SKU005,2024-08-19,113,1072733.8599999999,
SKU005,2024-08-26,122,1158172.8399999999,
SKU005,2024-09-02,113,1072733.8599999999,
SKU005,2024-09-09,104,987294.8799999999,
SKU005,2024-09-16,95,901855.8999999999,
SKU005,2024-09-23,108,1025267.76,
SKU005,2024-09-30,86,816416.9199999999,
SKU005,2024-10-07,96,911349.1199999999,
SKU005,2024-10-14,92,873376.24,
SKU005,2024-10-21,85,806923.7,
SKU005,2024-10-28,109,1034760.98,
SKU005,2024-11-04,109,1034760.98,
SKU005,2024-11-11,123,1167666.06,
SKU005,2024-11-18,104,987294.8799999999,
SKU005,2024-11-25,79,749964.38,
SKU005,2024-12-02,95,901855.8999999999,
SKU005,2024-12-09,107,1015774.5399999999,
SKU005,2024-12-16,110,1044254.2,
SKU005,2024-12-23,106,1006281.32,
SKU005,2024-12-30,111,1053747.42,109.0
SKU005,2025-01-06,97,920842.34,116.0
SKU005,2025-01-13,133,1262598.26,108.0
SKU005,2025-01-20,110,1044254.2,102.0
SKU005,2025-01-27,107,1015774.54,129.0
SKU005,2025-02-03,123,1167666.06,135.0
SKU005,2025-02-10,132,1253105.04,144.0
SKU005,2025-02-17,139,1319557.58,124.0
SKU005,2025-02-24,160,1518915.2,134.0
SKU005,2025-03-03,140,1329050.7999999998,147.0
SKU005,2025-03-10,142,1348037.24,144.0
SKU005,2025-03-17,144,1367023.68,151.0
SKU005,2025-03-24,134,1272091.48,126.0
SKU005,2025-03-31,142,1348037.24,138.0
SKU005,2025-04-07,132,1253105.04,113.0
SKU005,2025-04-14,134,1272091.48,140.0
SKU005,2025-04-21,141,1338544.02,113.0
SKU005,2025-04-28,116,1101213.52,122.0
SKU005,2025-05-05,117,1110706.74,142.0
SKU005,2025-05-12,122,1158172.8399999999,122.0
SKU005,2025-05-19,137,1300571.14,118.0
SKU005,2025-05-26,130,1234118.5999999999,124.0
SKU005,2025-06-02,140,1329050.7999999998,157.0
SKU005,2025-06-09,133,1262598.26,138.0
SKU005,2025-06-16,116,1101213.52,149.0
SKU005,2025-06-23,134,1272091.48,145.0
SKU005,2025-06-30,99,939828.78,105.0
SKU005,2025-07-07,104,987294.8799999999,114.0
SKU005,2025-07-14,106,1006281.32,109.0
SKU005,2025-07-21,124,1177159.28,114.0
SKU005,2025-07-28,115,1091720.3,108.0
SKU005,2025-08-04,96,911349.1199999999,95.0
SKU005,2025-08-11,114,1082227.0799999998,103.0
SKU005,2025-08-18,95,901855.9,113.0
SKU005,2025-08-25,96,911349.12,122.0
